cf,70.0
7.400000000000000355e+00,-1.899804175181148136e-02,0.000000000000000000e+00
7.450000000000000178e+00,-3.284405828044921483e-02,0.000000000000000000e+00
7.500000000000000000e+00,-7.439638769369056722e-06,0.000000000000000000e+00
7.549999999999999822e+00,3.723696705007667473e-02,0.000000000000000000e+00
7.599999999999999645e+00,2.444297877376073666e-02,0.000000000000000000e+00
7.650000000000000355e+00,-2.589113772741116759e-02,0.000000000000000000e+00
7.700000000000000178e+00,-4.433114667793722208e-02,0.000000000000000000e+00
7.750000000000000000e+00,-8.443475632610474688e-06,0.000000000000000000e+00
7.799999999999999822e+00,4.934755959811455012e-02,0.000000000000000000e+00
7.849999999999999645e+00,3.210752007787442269e-02,0.000000000000000000e+00
7.900000000000000355e+00,-3.372275980141828389e-02,0.000000000000000000e+00
7.950000000000000178e+00,-5.725890800507259931e-02,0.000000000000000000e+00
8.000000000000000000e+00,-9.158385496701850826e-06,0.000000000000000000e+00
8.050000000000000711e+00,6.272519553234946754e-02,0.000000000000000000e+00
8.099999999999999645e+00,4.049551205766418333e-02,0.000000000000000000e+00
8.150000000000000355e+00,-4.221552530282290938e-02,0.000000000000000000e+00
8.199999999999999289e+00,-7.114866337464047230e-02,0.000000000000000000e+00
8.250000000000000000e+00,-9.494262048125407742e-06,0.000000000000000000e+00
8.300000000000000711e+00,7.683527298959383356e-02,0.000000000000000000e+00
8.349999999999999645e+00,4.926037814022756617e-02,0.000000000000000000e+00
8.400000000000000355e+00,-5.100778876948629248e-02,0.000000000000000000e+00
8.449999999999999289e+00,-8.539210137723834970e-02,0.000000000000000000e+00
8.500000000000000000e+00,-9.385362139297809953e-06,0.000000000000000000e+00
8.550000000000000711e+00,9.102850641938943499e-02,0.000000000000000000e+00
8.599999999999999645e+00,5.798978258026817739e-02,0.000000000000000000e+00
8.650000000000000355e+00,-5.967748034820442166e-02,0.000000000000000000e+00
8.699999999999999289e+00,-9.929233133381068499e-02,0.000000000000000000e+00
8.750000000000000000e+00,-8.797556830287307382e-06,0.000000000000000000e+00
8.800000000000000711e+00,1.045864724810447316e-01,0.000000000000000000e+00
8.849999999999999645e+00,6.623502796520042146e-02,0.000000000000000000e+00
8.900000000000000355e+00,-6.777263084659705672e-02,0.000000000000000000e+00
8.949999999999999289e+00,-1.121149450311078460e-01,0.000000000000000000e+00
9.000000000000000000e+00,-7.732779700864460173e-06,0.000000000000000000e+00
9.050000000000000711e+00,1.167754336250854952e-01,0.000000000000000000e+00
9.099999999999999645e+00,7.354499747315408620e-02,0.000000000000000000e+00
9.150000000000000355e+00,-7.484585942963201122e-02,0.000000000000000000e+00
9.199999999999999289e+00,-1.231445081980182960e-01,0.000000000000000000e+00
9.250000000000000000e+00,-6.230209344839350455e-06,0.000000000000000000e+00
9.300000000000000711e+00,1.269035739297272314e-01,0.000000000000000000e+00
9.349999999999999645e+00,7.950156312586874330e-02,0.000000000000000000e+00
9.400000000000000355e+00,-8.048968621615949781e-02,0.000000000000000000e+00
9.449999999999999289e+00,-1.317413277289088691e-01,0.000000000000000000e+00
9.500000000000000000e+00,-4.364036370828278435e-06,0.000000000000000000e+00
9.550000000000000711e+00,1.343763892981415520e-01,0.000000000000000000e+00
9.599999999999999645e+00,8.375312693852923762e-02,0.000000000000000000e+00
9.650000000000000355e+00,-8.436922022962395351e-02,0.000000000000000000e+00
9.699999999999999289e+00,-1.373931196430296930e-01,0.000000000000000000e+00
9.750000000000000000e+00,-2.238117841281219633e-06,0.000000000000000000e+00
9.800000000000000711e+00,1.387443873055053678e-01,0.000000000000000000e+00
9.849999999999999645e+00,8.604384467922328306e-02,0.000000000000000000e+00
9.900000000000000355e+00,-8.625020626063960305e-02,0.000000000000000000e+00
9.949999999999999289e+00,-1.397559605432167895e-01,0.000000000000000000e+00
1.000000000000000000e+01,-1.895798663931753649e-06,0.000000000000000000e+00
1.005000000000000071e+01,1.397846033207103267e-01,0.000000000000000000e+00
1.009999999999999964e+01,8.632684167444365508e-02,0.000000000000000000e+00
1.015000000000000036e+01,-8.622079907487462114e-02,0.000000000000000000e+00
1.019999999999999929e+01,-1.392666563708034044e-01,0.000000000000000000e+00
1.025000000000000000e+01,1.124384950957251862e-06,0.000000000000000000e+00
1.030000000000000071e+01,1.385798029328872416e-01,0.000000000000000000e+00
1.034999999999999964e+01,8.537027434593424946e-02,0.000000000000000000e+00
1.040000000000000036e+01,-8.505612095945945528e-02,0.000000000000000000e+00
1.044999999999999929e+01,-1.370410128564066576e-01,0.000000000000000000e+00
1.050000000000000000e+01,2.296139918864539516e-06,0.000000000000000000e+00
1.055000000000000071e+01,1.356852668261997463e-01,0.000000000000000000e+00
1.059999999999999964e+01,8.337563235547261475e-02,0.000000000000000000e+00
1.065000000000000036e+01,-8.286080642777302052e-02,0.000000000000000000e+00
1.069999999999999929e+01,-1.331629927540083635e-01,0.000000000000000000e+00
1.075000000000000000e+01,3.373360456990526561e-06,0.000000000000000000e+00
1.080000000000000071e+01,1.311712147190894351e-01,0.000000000000000000e+00
1.084999999999999964e+01,8.039202629876267270e-02,0.000000000000000000e+00
1.090000000000000036e+01,-7.968910637709533673e-02,0.000000000000000000e+00
1.094999999999999929e+01,-1.277274163440316190e-01,0.000000000000000000e+00
1.100000000000000000e+01,4.367517664114309451e-06,0.000000000000000000e+00
